,loss
0,1113.0289306640625
1,35.44208526611328
2,29.404300689697266
3,201.5650634765625
4,608.7720947265625
5,12733.822265625
6,537.796875
7,968.788330078125
8,1998.135986328125
9,39.635826110839844
10,1158.4639892578125
11,1456.958740234375
12,79.7209701538086
13,20323.48046875
14,2210.681396484375
15,417.12554931640625
16,76.30696105957031
17,60.92094421386719
18,425.9969482421875
19,67.95133972167969
20,64675.13671875
21,55.84245300292969
22,29.103683471679688
23,148.04383850097656
24,148.4008026123047
25,4115.47119140625
26,1428.876953125
27,128.42575073242188
28,129.5299835205078
29,125.68080139160156
30,117.39518737792969
31,1547.711181640625
32,102.58905029296875
33,89.85887145996094
34,8504.3701171875
35,113.55625915527344
36,16006.94140625
37,1526.1082763671875
38,1714.7855224609375
39,1713.7855224609375
40,64715.01171875
41,1706.5965576171875
42,64704.5703125
43,1693.26025390625
44,64687.94921875
45,3786.86669921875
46,2568.7265625
47,160.20867919921875
48,172.10009765625
49,178.78750610351562
50,10789.5244140625
51,21418.74609375
52,185.2241668701172
53,189.53848266601562
54,189.83975219726562
55,188.53195190429688
56,180.16046142578125
57,173.4098663330078
58,161.7461700439453
59,145.687744140625
60,136.8224639892578
61,121.45899963378906
62,87.74844360351562
63,381.7982177734375
64,534.3558349609375
65,75.68331909179688
66,70.21107482910156
67,61.33258056640625
68,698.6546630859375
69,22.478195190429688
70,38.46113586425781
71,43.819679260253906
72,29.333236694335938
73,25.438159942626953
74,19.799041748046875
75,13.974956512451172
76,8.203174591064453
77,0.3950939178466797
78,28.027326583862305
79,37.072750091552734
80,39.76674270629883
81,53.93035888671875
82,43.39982223510742
83,44.17161560058594
84,7.077035903930664
85,169.21295166015625
86,6.053291320800781
87,5.542110443115234
88,17.724958419799805
89,12.144182205200195
90,14.07442855834961
91,12.317277908325195
92,13.68690299987793
93,11.872991561889648
94,11.215538024902344
95,1332.3172607421875
96,386.25421142578125
97,70.93165588378906
98,1268.9112548828125
99,1789.0806884765625
100,2243.8193359375
101,16.723621368408203
102,512.431884765625
103,46208.5390625
104,924.3598022460938
105,116.71026611328125
106,107.17999267578125
107,39423.703125
108,43.902122497558594
109,95.9461898803711
110,1721.4658203125
111,247.53500366210938
112,103.91485595703125
113,113.10455322265625
114,2299.96484375
115,8279.849609375
116,2283.58203125
117,13908.3779296875
118,54021.51171875
119,57525.03125
120,2224.93017578125
121,1006.3064575195312
122,3382.421875
123,28484.552734375
124,1525.908203125
125,2099.4892578125
126,2659.6044921875
127,4052.28515625
128,64332.0234375
129,697.6253051757812
130,579.765869140625
131,620.4683837890625
132,646.2341918945312
133,673.771484375
134,667.9141235351562
135,644.4622192382812
136,626.8368530273438
137,630.5554809570312
138,36881.1484375
139,551.8172607421875
140,525.3079223632812
141,495.6522216796875
142,461.2235412597656
143,426.18353271484375
144,394.4395751953125
145,357.0279541015625
146,321.54736328125
147,287.29986572265625
148,259.660888671875
149,230.01629638671875
150,198.37303161621094
151,175.4508819580078
152,149.0390625
153,127.44281005859375
154,107.87458801269531
155,16.999801635742188
156,64.19158935546875
157,11.236717224121094
158,128.99179077148438
159,30.34674072265625
160,53577.42578125
161,53643.03515625
162,19.637874603271484
163,15.0732421875
164,103.6066665649414
165,64773.1875
166,155.9124755859375
167,174.0117645263672
168,155.52452087402344
169,166.50743103027344
170,138.03237915039062
171,9.850353240966797
172,8.18716049194336
173,53575.98828125
174,53180.6953125
175,17.874004364013672
176,20.258438110351562
177,5.942985534667969
178,56.817237854003906
179,1510.0457763671875
180,54.701412200927734
181,13.391475677490234
182,725.4168090820312
183,54.81244659423828
184,17.29935073852539
185,19.73633575439453
186,20.711082458496094
187,19.368263244628906
188,19.35647201538086
189,16.948333740234375
190,10.221073150634766
191,10.054393768310547
192,11.85678482055664
193,10.562919616699219
194,7.146827697753906
195,3.729156494140625
196,2.231647491455078
197,5.186618804931641
198,6.765605926513672
199,3.97088623046875
200,7.966533660888672
201,5.383810043334961
202,6.615827560424805
203,12.440505981445312
204,0.9826469421386719
205,4.1865997314453125
206,5.495693206787109
207,5.210002899169922
208,3.39239501953125
209,2.3597774505615234
210,2.1148605346679688
211,0.3411712646484375
212,1.6717243194580078
213,1.5718841552734375
214,3.341899871826172
215,3.675861358642578
216,1.6237297058105469
217,3.4516639709472656
218,2.788982391357422
219,1.6164779663085938
220,1.5841178894042969
221,1.2887649536132812
222,1.5632152557373047
223,0.819000244140625
224,1.5051994323730469
225,0.09175872802734375
226,0.30312347412109375
227,0.8085460662841797
228,34.1055908203125
229,1.1845932006835938
230,0.12389373779296875
231,1.140838623046875
232,6.265682220458984
233,917.2971801757812
234,6.608402252197266
235,7.320957183837891
236,8.441593170166016
237,9.843414306640625
238,912.69189453125
239,6.605617523193359
240,2.0856399536132812
241,5.205009460449219
242,1791.254638671875
243,3.4627914428710938
244,1511.7279052734375
245,2.155040740966797
246,33119.50390625
247,2.2772979736328125
248,1795.6390380859375
249,21.89327049255371
250,2015.496826171875
251,21.58698844909668
252,8071.494140625
253,11999.451171875
254,8912.728515625
255,64798.1875
256,38562.8984375
257,18.659881591796875
258,30475.587890625
259,776.861083984375
260,975.0200805664062
261,1095.708251953125
262,7.465412139892578
263,1778.067138671875
264,11.19241714477539
265,12589.29296875
266,19.665180206298828
267,33.16168975830078
268,24.674468994140625
269,25.614177703857422
270,9.836143493652344
271,7.3311004638671875
272,52.74759292602539
273,172.91592407226562
274,1273.61328125
275,1025.7130126953125
276,22.71627426147461
277,1356.61083984375
278,1275.36474609375
279,43.551902770996094
280,39.014190673828125
281,39.38024139404297
282,39.072547912597656
283,18.19499969482422
284,33.14007568359375
285,26.243942260742188
286,16929.8671875
287,18536.859375
288,15721.177734375
289,10698.76171875
290,16201.5634765625
291,10.5
292,11.403839111328125
293,112.83866882324219
294,1709.9935302734375
295,7458.4306640625
296,69.52671813964844
297,125.49917602539062
298,52.0208740234375
299,107.59722900390625
300,8600.90234375
301,9819.3876953125
302,8.447463989257812
303,756.241943359375
304,684.2379150390625
305,675.576904296875
306,653.314453125
307,655.308349609375
308,629.4896240234375
309,627.084228515625
310,597.227294921875
311,2836.080810546875
